"%s was notified by SMS (Number: %s; Text: %s)","%s توسط پیامک آگاه شد (شماره تلفن: %s; متن: %s)"
"It is forbidden to send SMS to number '%s'. If you think that it is bad then check your number filters definitions in the configuration of SMSNotifyForMagento, please.","ارسال پیام به شماره '%s' ممنوع شده است. اگر فکر می‌کنید اشتباه است، لطفا تنظیمات تعیین فیلتر شماره‌ها برای ارسال پیامک مجنتو فارسی را بررسی کنید."
"Keep in mind that if you use variables then the values on counters above are only estimates. Really length of message depends on values of those variables. The texts which are longer than <b>160</b> chars will be splitted to more messages.","به خاطر داشته باشید که اگر از متغیرها استفاده کنید، شمارشگر بالا تنها مقدار کاراکتر را تخمین می‌زند. طول واقعی پیام به مقدار این متغیرها بستگی دارد. متنی که بیش از <b>70</b> کاراکتر در فارسی و <b>160</b> کاراکتر در انگلیسی داشته باشد به پیام‌های بیشتر تقسیم می‌گردد."
"Local country","کشور محلی"
"Log SMS","ثبت وقابع پیامک"
"Message text is not defined.","متن پیام تعریف شده نیست."
"Message","پیام"
"Name","نام"
"New Invoice","فاکتور جدید"
"New Order","سفارش جدید"
"New Shipment","محموله‌ی جدید"
"No data for computation","داده‌ای برای محاسبه وجود ندارد"
"No","خیر"
"Not Notified","آگاه نشد"
"Note some special chars (ex.: ^, {, }, \, [, ], ~, |, , newline char) may cost 2 chars.","دقت کنید که کاراکترهای خاص (مانند: ^, {, }, \, [, ], ~, |,فاصله, سر خط) ممکن است 2 کاراکتر حساب شوند."
"Nothing","هیچ یک"
"Notification Not Applicable","اطلاع رسانی قابل اجرا نیست"
"Notified","آگاه شد"
"Notify Customer by Email","اطلاع به مشتری با ایمیل"
"Notify admin","اطلاع به مدیر"
"Notify customer","اطلاع به مشتری"
"Notify when new invoice is created","اطلاع رسانی برای فاکتور جدید"
"Notify when new order is placed","اطلاع رسانی برای سفارش جدید"
"Notify when new shipment is created","اطلاع رسانی برای محموله جدید"
"Number '%s' is not valid.","شماره '%s' معتبر نیست."
"Number Filters","فیلتر شماره‌ها"
"Number is not set.","شماره‌ای تنظیم نشده است."
"OK","قبول"
"Ok","قبول"
"Only local country","تنها کشور محلی"
"Only not send","تنها ارسال نشده"
"Only send","تنها ارسال شده"
"Only specific countries","تنها کشورهای انتخابی"
"Order Nr.","شماره سفارش"
"Pattern","الگو"
"Primary admin's number","شماره اصلی مدیر"
"Primary number","شماره اصلی"
"Purchase credit now","خرید اعتبار"
"Purchase","خرید"
"Range","بازه"
"Received error: %s %s","خطای دریافتی: %s %s"
"Remain <b><span class=""%s""></span></b> characters to new message.","<b><span class=""%s""></span></b> کاراکتر تا پیام جدید."
"Remain about <b><span class=""%s""></span></b> characters to new message.","حدود <b><span class=""%s""></span></b> کاراکتر تا پیام جدید."
"Response body is not well formed.","شاکله پاسخ دهی به خوبی شکل نگرفته است."
"Rial or Message","ریال یا پیام (بسته به نوع پنل)"
"Rial","ریال"
"SENT (%s)","ارسال شد (%s)"
"SMS Notify For Magento - Send SMS","ارسال پیامک مجنتو فارسی - ارسال پیامک"
"SMS Notify for Magento","ارسال پیامک مجنتو فارسی"
"SMS Text","متن پیامک"
"SMS messages would be writen to file 'var/log/smsnotify.log'. Note sending will not be logged when the Magento log is disabled.","پیغام‌های ارسال پیامک در فایل 'var/log/smsnotify.log' ذخیره می‌شوند. دقت کنید که اگر ثبت وقایع مجنتو غیرفعال باشد، ارسال‌ها ثبت نخواهند شد."
"SMS text","متن پیامک"
"SMS to '%s' could not be sent. Reason is unknown. For more information see log, please.","نمی توان به '%s' پیام ارسال کرد. دلیل آن نامشخص است. برای اطلاعات بیشتر لطفا فایل ثبت وقایع پیامک را نگاه کنید."
"SMS to '%s' could not be sent. Reason: '%s'","نمی‌توان به '%s' پیام ارسال کرد. دلیل: '%s'"
"SMS to '%s' was sent.","پیامک به '%s' ارسال شد."
"SMS","پیامک"
"STATUS_SMS","وضعیت پیامک"
"Secondary admin's number","شماره دوم مدیر"
"Secondary number","شماره دوم"
"Send SMS","ارسال پیامک"
"Sending SMS","ارسال پیامک"
"Send to administrator","ارسال به مدیر"
"Sending SMS to %s fails (Reason: %s)","ارسال پیام به %s ناموفق بود (دلیل: %s)"
"Sending the messge to this number is diallowed, see filters in configuration","ارسال پیام به این شماره غیرمجاز شده است. تنظیمات فیلتر شماره‌ها در پیکربندی را بررسی کنید."
"Shipment Nr.","شماره محموله"
"Shipping Address","آدرس ارسال"
"Some parameters not set.","بعضی از پارامترها وارد نشده است"
"Specified countries","کشورهای انتخابی"
"Status","وضعیت"
"Submit Comment","ارسال نظر"
"Telephone Number List","لیست شماره تلفن"
"Telephone number is too long. Telephone number may be maximally 16 digits length","شماره تلفن طولانی است. شماره تلفن باید حداکثر 14 رقم باشد."
"Text will be sended as <b><span class=""%s""></span></b> message(s).","متن به صورت <b><span class=""%s""></span></b> پیام ارسال خواهد شد."
"Text will be sended perhaps as <b><span class=""%s""></span></b> message(s).","متن احتمالا به صورت <b><span class=""%s""></span></b> پیام ارسال خواهد شد."
"The customers can insert the phone number with dial prefix or without it to their address. This settings determines whether system have to add dial prefix automatically or not. If you choose for example 9 then there will be add dial prefix of your local country to all numbers with have 9 digits or less. The numbers with 10 digits or more will remain as they are.","مشتریان می توانند شماره تلفن را با پیش شماره و یا بدون آن در آدرس خود وارد کنند. این تنظیمات تعیین می‌کند که سیستم می‌تواند به صورت خودکار به شماره تلفن‌ها پیش شماره اضافه کند یا خیر. به عنوان مثال اگر شما عدد 10 را انتخاب کنید، به صورت خودکار به شماره‌هایی که برابر یا کمتر از 10 رقم باشند، پیش شماره کشور شما را اضافه خواهد شد. شماره‌های با 11 رقم و بیشتر بدون تغییر باقی می‌مانند."
"The number in parentheses indicates the dial prefix code of the country.","شماره داخل پرانتز، پیش کد هر کشور را نشان می‌دهد."
"There is disallowed send SMS to this number. Check your filter definitions in the configuration of SMSNotifyForMagento, please.","ارسال پیام به این شماره غیرمجاز شده است. لطفا، تنظیمات تعیین شده برای فیلتر شماره‌ها در پیکربندی ارسال پیامک مجنتو فارسی را بررسی کنید."
"There will be added dial prefix '%s' to numbers which are %s digits length or shorter.","پیش شماره '%s' به شماره‌هایی که برابر یا کمتر از %s رقم باشند، اضافه خواهد شد."
"This order no longer exists.","این سفارش وجود ندارد."
"Type: %s; Number: %s; Text: %s","نوع: %s; شماره: %s; متن: %s"
"Unknow code: %s","کد ناشناخته: %s"
"Username","نام کاربری"
"Username or Password or SMSnumber not set.","نام کاربری، کلمه عبور و یا شماره ارسال تنظیم نشده است."
"Variables:","متغیرها:"
"Visible on Frontend","نمایان در فروشگاه"
"You have not configured username, password or send number properly.","اطلاعات ورودی مانند نام کاربری، کلمه عبور و یا شماره ارسال را دوباره بررسی کنید."
"You have written <b><span class=""%s""></span></b> character(s).","شما <b><span class=""%s""></span></b> کاراکتر نوشته‌اید."
"You have written about <b><span class=""%s""></span></b> character(s).","شما حدود <b><span class=""%s""></span></b> کاراکتر نوشته‌اید."
"Your credit","اعتبار شما"
"administrator","مدیر"
"customer","مشتری"
